Username,Judul,Tipe Koleksi,Tanggal Dipinjam,Harus Kembali,Status Pengembalian
pascasarjana,Analisis wacana : pengantar analisis teks media,Buku Teks,1/2/2020,1/9/2020,Sudah Kembali
pascasarjana,Membangun metodologi Ushul Fiqh,Buku Teks,1/2/2020,1/9/2020,Sudah Kembali
pascasarjana,Meretas kebekuan Ijtihad: Isu-isu penting Hukum Islam Kontemporer di Indonesia,Buku Teks,1/2/2020,1/9/2020,Sudah Kembali
21191200000014,Reformasi Hukum Islam di Indonesia,Buku Teks,1/2/2020,1/9/2020,Sudah Kembali
21191200000014,Menggapai Hukum Berkeadilan Tinjauan Hukum Kodrat dan Antinomi Nilai,Buku Teks,1/2/2020,1/9/2020,Sudah Kembali
21191200000014,Konstruksi Baru Budaya Hukum Hakim Berbasis Hukum Progresif,Buku Teks,1/2/2020,1/9/2020,Sudah Kembali
21191200000014,Yurisprudensi Mahkamah Agung: Analisis pertimbangan hakim dalam penerapan wasiat wajibah,Tesis,1/2/2020,1/9/2020,Sudah Kembali
,Pendidikan humanis: mengarusutamakan nilai-nilai kemanusiaan dalam praktek pendidikan Islam di Indonesia,Tesis,1/2/2020,1/9/2020,Sudah Kembali
,Pendidikan Islam Humanis : Kajian Pemikiran A. Malik Fadjar,Disertasi,1/2/2020,1/9/2020,Sudah Kembali
,The Blackwell Companion To The Quran,Buku Teks,1/2/2020,1/9/2020,Sudah Kembali
,Sejarah Teks Al-Quran,Buku Teks,1/2/2020,1/9/2020,Sudah Kembali
,Kajian kontemporer al-Quran,Buku Teks,1/2/2020,1/9/2020,Sudah Kembali
,Ekologi Berwawasan Gender dalam Perspektif Al-Quran,Buku Teks,1/2/2020,1/9/2020,Sudah Kembali
,Metode Tafsir Maudhu`i dan cara penerapannya : al-Bidayah fi al-Tafsir al-Mawdui dirasat manhajiyah mawduiyah,Buku Teks,1/2/2020,1/9/2020,Sudah Kembali
,Perempuan periwayat hadis: studi kitab Arba'in Abu Al-Faid Muhammad Yasin Bin Isa Al-Fadani Al-Makki,Tesis,1/2/2020,1/9/2020,Sudah Kembali
,Memahami hakikat hukum Islam,Buku Teks,1/2/2020,1/9/2020,Sudah Kembali
pascasarjana,Perlawanan Kiai desa: pemikiran dan gerakan Islam KH. Ahmad RifaI Kalisalak,Buku Teks,1/3/2020,1/10/2020,Sudah Kembali
pascasarjana,Gerakan politik kaum tarekat: telaah historis gerakan politik antikolonil tarekat Qadariayah-Naqsabandiyah di Jawa,Buku Teks,1/3/2020,1/10/2020,Sudah Kembali
pascasarjana,Dutch Colonialism and Indonesia Islam : contacts and conflicts 1596-1950,Buku Teks,1/3/2020,1/10/2020,Sudah Kembali
pascasarjana,Sejarah Sosial Kesultanan Ternate,Buku Teks,1/3/2020,1/10/2020,Sudah Kembali
pascasarjana,Quantum Business,Buku Teks,1/3/2020,1/10/2020,Sudah Kembali
,Ulumul Quran (edisi Revisi),Buku Teks,1/3/2020,1/10/2020,Sudah Kembali
,Interpreting the Quran: towards a contemporary approach,Buku Teks,1/3/2020,1/10/2020,Sudah Kembali
,Tafsir wa al-mufassirun,Buku Teks,1/3/2020,1/10/2020,Sudah Kembali
,Membahas ilmu-ilmu al-quran,Buku Teks,1/3/2020,1/10/2020,Sudah Kembali
,"Hukum negara; suatu study tentang prinsip-prinsipnya dilihat dari segi hukum islam, implementasinya pada periode negara madinah dan masa kini",Buku Teks,1/3/2020,1/10/2020,Sudah Kembali
,Nashat al-fikr al-falsafi fi al-Islam,Buku Teks,1/3/2020,1/10/2020,Sudah Kembali
,Pendidikan karakter berbasis tarekat di jagat 'Arsyi Islamic Boarding School,Tesis,1/3/2020,1/10/2020,Sudah Kembali
,Hadis Shahih Yang Disalahpahami,Buku Teks,1/4/2020,1/11/2020,Sudah Kembali
,Tafsir Ayat-ayat Ahkam,Buku Teks,1/4/2020,1/11/2020,Sudah Kembali
,Studi Islam,Buku Teks,1/4/2020,1/11/2020,Sudah Kembali
,Tafsir Ilmi : Air dalam Perspektif Al-Quran dan Sains,Buku Teks,1/4/2020,1/11/2020,Sudah Kembali
,Ayat-ayat Tematik: Hukum Islam,Buku Teks,1/4/2020,1/11/2020,Sudah Kembali
,Antologi ilmu hadits,Buku Teks,1/4/2020,1/11/2020,Sudah Kembali
pascasarjana,Culture shift in advance industrial society,Buku Teks,1/6/2020,1/13/2020,Sudah Kembali
pascasarjana,Media Power Media Politics,Buku Teks,1/6/2020,1/13/2020,Sudah Kembali
21191200000032,Yahudi Ahl al-Kitab,Buku Teks,1/6/2020,1/13/2020,Sudah Kembali
,Language & symbolic power,Buku Teks,1/6/2020,1/13/2020,Sudah Kembali
,Kontestasi Islam di Facebook Studi Sosiolinguistik,Disertasi,1/6/2020,1/13/2020,Sudah Kembali
,Bahasa dan kekuasaan dalam sejarah Islam,Disertasi,1/6/2020,1/13/2020,Sudah Kembali
,Dasar-Dasar Ekonomi Islam,Buku Teks,1/6/2020,1/13/2020,Sudah Kembali
,Ekonomi Mikro Islami Edisi 4,Buku Teks,1/6/2020,1/13/2020,Sudah Kembali
,"Hukum ekonomi Islam: sejarah, teori dan konsep",Buku Teks,1/6/2020,1/13/2020,Sudah Kembali
,Multikulturalisme dan Politik Identitas,Tesis,1/6/2020,1/13/2020,Sudah Kembali
,Pemikiran dan gerakan islam radikal pasca orde baru : studi atas ormas-ormas islam garias keras di indonesia 1998-2001,Tesis,1/6/2020,1/13/2020,Sudah Kembali
,The Cambridge Companion To Classical Islamic Theology,Buku Teks,1/6/2020,1/13/2020,Sudah Kembali
,Philosophy of the arts an introduction to aesthetics,Buku Teks,1/6/2020,1/13/2020,Sudah Kembali
,Situs-Situs Dalam al-Quran: Dari Peperangan Daud Melawan Jalut Hingga Gua Ashabul Kahfi,Buku Teks,1/6/2020,1/13/2020,Sudah Kembali
,Keadilan Sahabat,Buku Teks,1/6/2020,1/13/2020,Sudah Kembali
,Purnama madinah: 600 sahabat-wanita rasulullah SAW. Yang menyemarakkan kota nabi,Buku Teks,1/6/2020,1/13/2020,Sudah Kembali
pascasarjana,Aliran politik dan aqidah dalam Islam,Buku Teks,1/7/2020,1/14/2020,Sudah Kembali
pascasarjana,Tahdid al-fikr al-islami,Buku Teks,1/7/2020,1/14/2020,Sudah Kembali
21191200000004,Samudra ilmu-ilmu al-Quran: ringkasan kitab al-Itqan fi ulum al-Quran,Buku Teks,1/7/2020,1/14/2020,Sudah Kembali
21191200000004,Sumbangan Islam kepada Sains & Peradaban Dunia,Buku Teks,1/7/2020,1/14/2020,Sudah Kembali
21191200000004,"Kaidah Tafsir: syarat, ketenttuan, dan aturan yang patut anda ketahui dalam memahami ayat-ayat al-Quran",Buku Teks,1/7/2020,1/14/2020,Sudah Kembali
,Tanggung Jawab Sosial dan Kinerja Keuangan (studi pada bank umum syariah di indonesia),Tesis,1/7/2020,1/14/2020,Sudah Kembali
,Sejarah politik islam,Buku Teks,1/7/2020,1/14/2020,Sudah Kembali
,Potret wanita shalehah,Buku Teks,1/7/2020,1/14/2020,Sudah Kembali
,Pembaruan Tanpa Membongkar Tradisi: Wacana Keagamaan di Kalangan Generasi Muda NU Masa Kepemimpinan Gus Dur,Buku Teks,1/7/2020,1/14/2020,Sudah Kembali
,Ideologi kaum reformis,Buku Teks,1/7/2020,1/14/2020,Sudah Kembali
,Quran dan Psikologi,Buku Teks,1/7/2020,1/14/2020,Sudah Kembali
,Retorika Islam,Buku Teks,1/7/2020,1/14/2020,Sudah Kembali
,Fatwa dalam sistem hukum islam,Buku Teks,1/7/2020,1/14/2020,Sudah Kembali
,Al-Ijtihad fi al-Islam,Buku Teks,1/7/2020,1/14/2020,Sudah Kembali
,Ilmu pendidikan Islam : tinjauan teoritis dan praktis,Buku Teks,1/7/2020,1/14/2020,Sudah Kembali
,Pemikiran pendidikan islam,Buku Teks,1/7/2020,1/14/2020,Sudah Kembali
pascasarjana,Fikih Kawin Anak: Membaca Ulang Teks Keagamaan Perkawinan Usia Anak-Anak,Buku Teks,1/8/2020,1/15/2020,Sudah Kembali
pascasarjana,Kesaksian Pengantin Bocah,Buku Teks,1/8/2020,1/15/2020,Sudah Kembali
pascasarjana,Urgensi Maslahat Mursalah Dalam Dialektika Pemikiran Hukum Islam,Buku Teks,1/8/2020,1/15/2020,Sudah Kembali
pascasarjana,Fiqh perbandingan masalah pernikahan,Buku Teks,1/8/2020,1/15/2020,Sudah Kembali
31191200000016,Ulumul Hadis,Buku Teks,1/8/2020,1/15/2020,Sudah Kembali
31191200000016,Teori Hadis : Sebuah Pergeseran Pemikiran,Buku Teks,1/8/2020,1/15/2020,Sudah Kembali
31191200000016,Ilmu Hadis,Buku Teks,1/8/2020,1/15/2020,Sudah Kembali
31191200000016,Mengenal Ilmu Hadis : menjaga kemurnian hadis dengan mengkaji ilmu hadis,Buku Teks,1/8/2020,1/15/2020,Sudah Kembali
31191200000016,Membahas Ilmu-ilmu Hadis,Buku Teks,1/8/2020,1/15/2020,Sudah Kembali
,Pembelajaran bahasa Arab berbasis multiple intelligences : studi kasus di pondok pesantren Darul Muttaqien Bogor,Disertasi,1/8/2020,1/15/2020,Sudah Kembali
,Islam Di Amerika,Buku Teks,1/8/2020,1/15/2020,Sudah Kembali
,Islam And Islamic Law In Indonesia,Buku Teks,1/8/2020,1/15/2020,Sudah Kembali
,"Islam in the modem world: religion, idiology and development, vol. 1-2",Buku Teks,1/8/2020,1/15/2020,Sudah Kembali
pascasarjana,Meretas kebekuan Ijtihad: Isu-isu penting Hukum Islam Kontemporer di Indonesia,Buku Teks,1/9/2020,1/16/2020,Sudah Kembali
pascasarjana,Qawaid Fiqhiyyah : dalam perspektif fiqh,Buku Teks,1/9/2020,1/16/2020,Sudah Kembali
pascasarjana,Dasar-dasar masail fiqhiyah,Buku Teks,1/9/2020,1/16/2020,Sudah Kembali
pascasarjana,"Syariah; sejarah, perkelahian, pemaknaan",Buku Teks,1/9/2020,1/16/2020,Sudah Kembali
pascasarjana,Formulasi Nalar Fiqh : Telaah Kaidah Fiqh Konseptual (buku 2),Buku Teks,1/9/2020,1/16/2020,Sudah Kembali
21191200000056,"Dari langit; kumpulan esai tentang manusia, masyarakat, dan kekuasaan",Buku Teks,1/9/2020,1/16/2020,Sudah Kembali
21191200000056,Homoseksual dan Islam,Tesis,1/9/2020,1/16/2020,Sudah Kembali
21191200000032,Tafsir Pendidikan Studi ayat-ayat Berdimensi Pendidikan,Buku Teks,1/10/2020,1/17/2020,Sudah Kembali
21191200000032,Sains dan Matematika dalam Islam,Buku Teks,1/10/2020,1/17/2020,Sudah Kembali
,Prospek Fatwa Sebagai hukum Positif Di Indonesia,Disertasi,1/10/2020,1/17/2020,Sudah Kembali
,Maabahis fii ahkami al-fatwa,Buku Teks,1/10/2020,1/17/2020,Sudah Kembali
,Filsafat hukum Islam : studi tentang hidup dan pemikiran Abu Ishaq al-Syatibi,Buku Teks,1/10/2020,1/17/2020,Sudah Kembali
,Epistemologi metafisika suhwardi kajian atas simbolisme cahaya dalam hikmat al-Ishraq,Tesis,1/10/2020,1/17/2020,Sudah Kembali
,Ulumul Quran (edisi Revisi),Buku Teks,1/10/2020,1/17/2020,Sudah Kembali
,Interpreting the Quran: towards a contemporary approach,Buku Teks,1/10/2020,1/17/2020,Sudah Kembali
,Tafsir wa al-mufassirun,Buku Teks,1/10/2020,1/17/2020,Sudah Kembali
,Membahas ilmu-ilmu al-quran,Buku Teks,1/10/2020,1/17/2020,Sudah Kembali
,Faktor-Faktor Pertumbuhan Ekonomi Dalam Perspektif Ibn Khaldun dan Relavansinya Dengan Teori Pertumbuhan Kontemporer,Disertasi,1/10/2020,1/17/2020,Sudah Kembali
,"Hukum negara; suatu study tentang prinsip-prinsipnya dilihat dari segi hukum islam, implementasinya pada periode negara madinah dan masa kini",Buku Teks,1/10/2020,1/17/2020,Sudah Kembali
,Sacred canopy: elements of a sociological theory of religion THE-,Buku Teks,1/10/2020,1/17/2020,Sudah Kembali
31191200000055,"Pendidikan Islam di era global : pendidikan multikultural, pendidikan multi iman, pendidikan agama, moral dan etika",Buku Teks,1/13/2020,1/20/2020,Sudah Kembali
31191200000055,Teologi pendidikan: tauhid sebagai paradigma pendidikan Islam,Buku Teks,1/13/2020,1/20/2020,Sudah Kembali
31191200000055,"Filsafat Pendidikan Islam : Integrasi Jasmani , Rohani dan Kalbu Memanusiakan Manusia",Buku Teks,1/13/2020,1/20/2020,Sudah Kembali
,Transaksi Dan Etika Bisnis Islam,Buku Teks,1/13/2020,1/20/2020,Sudah Kembali
,Investasi pada Pasar Modal Syariah,Buku Teks,1/13/2020,1/20/2020,Sudah Kembali
,Hukum Surat Berharga Syariah Negara dan Pengaturannya,Buku Teks,1/13/2020,1/20/2020,Sudah Kembali
31191200000055,Pendidikan Seks Remaja? Dialog Sains dan Agama,Tesis,1/14/2020,1/21/2020,Sudah Kembali
21141200000034,Penafsiran ayat ahkam al-Zuhailiy dalam tafsir al-Munir,Disertasi,1/14/2020,1/21/2020,Sudah Kembali
,Khulq Islam,Buku Teks,1/14/2020,1/21/2020,Sudah Kembali
,Islam in the modern world,Buku Teks,1/14/2020,1/21/2020,Sudah Kembali
,Ajat 2 Mengenai Kosmos dalam Quran,Buku Teks,1/14/2020,1/21/2020,Sudah Kembali
,Cita-cita politik Islam era reformasi,Buku Teks,1/14/2020,1/21/2020,Belum Kembali
,Islam dan negara : transformasi pemikiran dan politik Islam di Indonesia,Buku Teks,1/14/2020,1/21/2020,Belum Kembali
,Political Islam; essays from Middle East report,Buku Teks,1/14/2020,1/21/2020,Belum Kembali
,Islam dan Demokrasi ; Respons Intelektual Muslim Indonesia Terhadap Konsep Demokrasi 1966-1993,Buku Teks,1/14/2020,1/21/2020,Belum Kembali
,,Buku Teks,1/14/2020,1/21/2020,Sudah Kembali
,"Tafsir al-Mishbah: pesan, kesan dan keserasian al-Qur an (v.2)",Buku Teks,1/14/2020,1/21/2020,Sudah Kembali
,"Tafsir al-Mishbah : pesan, kesan dan keserasian al-Quran v.6",Buku Teks,1/14/2020,1/21/2020,Sudah Kembali
