Username,Judul,Tipe Koleksi,Tanggal Dipinjam,Harus Kembali,Status Pengembalian
pascasarjana,Epistimologi Pendidikan Islam dari Metode Rasional hingga Metode Kritik,Buku Teks,3/3/2021,3/10/2021,Sudah Kembali
pascasarjana,"Arah baru pengembangan pendidikan islam; pemberdayaan, pengembangan kurikulum, hingga redifinisi islamisasi pengetahuan",Buku Teks,3/3/2021,3/10/2021,Sudah Kembali
pascasarjana,Menerabas krisis pendidikan dunia Islam,Buku Teks,3/3/2021,3/10/2021,Sudah Kembali
pascasarjana,Ilmu pendidikan islam,Buku Teks,3/3/2021,3/10/2021,Sudah Kembali
pascasarjana,Ilmu Pendidikan Islam,Buku Teks,3/3/2021,3/10/2021,Sudah Kembali
,Maqasid al-Quran Dalam Pemikiran Yusuf al-Qardawi,Disertasi,3/3/2021,3/10/2021,Sudah Kembali
pascasarjana,Akselerasi Pembelajaran Tahfiz Pada Lembaga Pendidikan Alquran: Studi Di Pondok Pesantren Wadi Mubarak Bogor,Disertasi,3/3/2021,3/10/2021,Sudah Kembali
pascasarjana,"Al-Qur an bukan kitab sejarah : seni, sastra dan moralis dalam kisah-kisah Al - Qur an",Buku Teks,3/3/2021,3/10/2021,Sudah Kembali
pascasarjana,Sejarah al-Quran,Buku Teks,3/3/2021,3/10/2021,Sudah Kembali
pascasarjana,Sejarah Penulisan Mushaf al-Quran Standar Indonesia,Buku Teks,3/3/2021,3/10/2021,Sudah Kembali
pascasarjana,Para Penjaga al-Quran,Buku Teks,3/3/2021,3/10/2021,Sudah Kembali
,"Monoteisme dan humanisme dalam filsafat Islam, Katolik dan Kristen",Tesis,3/3/2021,3/10/2021,Sudah Kembali
,Gagasan multikulturalisme dalam konteks kelompok keagamaan: perspektif William A. Galston dan Yusuf Al-Qardawi,Tesis,3/3/2021,3/10/2021,Sudah Kembali
,Teori Keadilan : Dasar-dasar Filsafat Politik untuk Mewujudkan Kesejahteraan Siosial dalam Negara,Buku Teks,3/3/2021,3/10/2021,Sudah Kembali
,Implementasi budaya toleransi dalam pendidikan agama,Disertasi,3/3/2021,3/10/2021,Sudah Kembali
,Pendidikan Toleransi Beragama (Kajian atas Pembelajaran Agama Di Binus School Jakarta),Disertasi,3/3/2021,3/10/2021,Sudah Kembali
,Gerakan Moderen Islam di Indonesia 1900-1942,Buku Teks,3/3/2021,3/10/2021,Sudah Kembali
,"Nalar Islam Nusantara: Studi Islam Ala Muhammadiyah, Al-Irsyad, Persis dan NU",Buku Teks,3/3/2021,3/10/2021,Sudah Kembali
,Perangkat-perangkat tarbiyah ikhwanul muslimin,Buku Teks,3/3/2021,3/10/2021,Sudah Kembali
,HTI dan PKS Menuai Kritik: Perilaku Gerakan Islam Politik Indonesia,Buku Teks,3/3/2021,3/10/2021,Sudah Kembali
,Terorisme dan jihad dalam perspektif hukum Islam,Disertasi,3/3/2021,3/10/2021,Sudah Kembali
,Islam dan Pemerintahan ( Studi Pemikiran Muhammad Rasyid Ridha tentang Khilafah dan Syura'),Disertasi,3/3/2021,3/10/2021,Sudah Kembali
,Ikhwanul Muslimin di Mesir : telaah atas gerakan keagamaan pra rtevolusi di Mesir,Disertasi,3/3/2021,3/10/2021,Sudah Kembali
,Nuansa-nuansa psikologi islam,Buku Teks,3/2/2021,3/9/2021,Sudah Kembali
21191200000011,Metode A'isyah dalam kritik hadis,Disertasi,3/2/2021,3/9/2021,Sudah Kembali
,Active Learning : 101 Strategi Pembelajaran Aktif,Buku Teks,3/2/2021,3/9/2021,Sudah Kembali
,"Pertimbangan hakim dalam penyelesaian sengketa akad pembiayaan syariah di Indonesia, Malaysia, dan Inggris",Disertasi,3/1/2021,3/8/2021,Sudah Kembali
,Penyederhanaan Mata Uang Dalam Axioma Ekonomi Islam,Disertasi,3/1/2021,3/8/2021,Sudah Kembali
pascasarjana,research Methods in Educatio,Buku Teks,3/1/2021,3/8/2021,Sudah Kembali
pascasarjana,Pengembangan profesionalisme guru; 70 tahun abdul malik fadjar,Buku Teks,3/1/2021,3/8/2021,Sudah Kembali
,Kloning Terapeutik dan penggunaan Sel Punca Dalam Terapi : Perspektif Hukum Islam,Disertasi,3/1/2021,3/8/2021,Sudah Kembali
,Qur'anic soteriology: doktrin teologis tentang keselamatan dan nasib pemeluk agama lain dalam perspektif al-Qur?an,Disertasi,3/1/2021,3/8/2021,Sudah Kembali
pascasarjana,Dari Jihad Menuju Ijtihad,Buku Teks,3/1/2021,3/8/2021,Sudah Kembali
pascasarjana,Perselingkuhan Kiyai dan Kekuasaan,Buku Teks,3/1/2021,3/8/2021,Sudah Kembali
pascasarjana,Partai Keadilan Sejahtera : wajah baru Islam politik Indonesia,Buku Teks,3/1/2021,3/8/2021,Sudah Kembali
pascasarjana,"Partai, kebijakan dan demokrasi",Buku Teks,3/1/2021,3/8/2021,Sudah Kembali
,"Children, Adults, and Shared Responsibilities: Jewish, Christian and Muslim Perspectives",Buku Teks,3/1/2021,3/8/2021,Sudah Kembali
,Perbandingan antara Pemikiran Pembaharuan Rasyid Rida dengan Pemikiran Pembahaeruan Muhammadiyah,Disertasi,2/26/2021,3/5/2021,Sudah Kembali
,Politik pendidikan agama di sekolah: studi tentang polemik pendidikan agama dalam UU No.20 Tahun 2003 tentang sistem pendidikan nasional,Disertasi,2/26/2021,3/5/2021,Sudah Kembali
,"Ekonomi indonesia, mau ke mana?",Buku Teks,2/26/2021,3/5/2021,Sudah Kembali
